Common Name Used,Other common names and information,Latin name,kingdom,class,order,family,genius
Black-crowned night heron ,"black capped night heron, night heron",Nycticoraxÿnycticoraxÿ,Animal,Bird,Pelecaniformes,Ardeida,Nycticorax
Black-headed grosbeak,,Pheucticus melanocephalus,Animal,Bird,Passeriformes,Cardinalidae,Pheucticus
Black-headed gull,Common black-headed gull,"Larus ribidundus, Chroicocephalus ridibundus, Larus ridibundus",Animal,Bird,Charadriiformes,Laridae,Chroicocephalus
Black-winged kite,Black shoulder kite,Elanus caeruleus,Animal,Bird,Accipitriformes,Accipitridae,Elanus
Blind snake,,Ramphotyphlops,Animal,Reptile,Squamata,Typhlopidae,Ramphotyphlops
Blood python,,Pythonÿcurtus,,,,,
Blotched blue-tongue lizard,,Tiliqua nigrolutea,Animal,Reptile,Squamata,Scincidae,Tiliqua
Blow fly,Blow fly family,Calliphoridae,Animal,Insect,Diptera,Calliphoridae,
Blue grosbeak,,Passerina caerulea ,Animal,Bird,Passeriformes,Cardinalidae,Passerina
Blue jay,,Cyanocittaÿcristata,,,,,
Blue tit,"Blue titmouse, Eurasian blue tit","Parus caeruleus, Cyanistes caeruleus",Animal,Bird,Passeriformes,Paridae,Cyanistes
Bluethroat,,Luscinia svecica,,,,,
Blue-winged teal ,,Anas discors,Animal,Bird,Anseriformes,Anatidae,Spatula
Bobcat,red lynx,Lynx rufus,Animal,Mammal,Carnivora,Felidae,Lynx
Boettcheria ,,Boettcheria ,Animal,Insect,Diptera,Sarcophagidae,Boettcheria
Bohemian waxwing,,Bombycilla garrulus,Animal,Bird,Passeriformes,Bombycillidae,Bombycilla
Bonelli's eagle,crestless hawk-eagle,"Hieraaetusÿfasciatus, Aquila fasciata ",Animal,Bird,Accipitriformes,Accipitridae,Aquila
Booted eagle,,Hieraaetus pennatus,Animal,Bird,Accipitriformes,Accipitridae,Hieraaetus
Boreal owl,Tengmalm's owl,Aegolius funereus,Animal,Bird,Strigiformes,Strigidae,Aegolius
Botanophila,genus,Botanophila,Animal,Insect,Diptera,Anthomyiidae,Botanophila
Brambling,,Fringilla montifringilla,Animal,Bird,Passeriformes,Fringillidae,Fringilla
Brandt's bat,Brandt's myotis,Myotis brandtii,Animal,Mammal,Chiroptera,Vespertilionidae,Myotis
Brant goose,Brent Goose,"Branta bernicla, Anas bernicla",,,,,
Brewer's blackbird,,Euphagus cyanocephalus,Animal,Bird,Passeriformes,Icteridae,Euphagus
Brewer's sparrow,,Spizella breweri,Animal,Bird,Passeriformes,Passerellidae,Spizella
Broad-billed sandpiper,,Limicola falcinellus,,,,,
Brown antechinus,"Stuart's antechinus, Macleay's marsupial mouse",Antechinus stuartii,Animal,Mammal,Dasyuromorphia,Dasyuridae,Antechinus
Brown creeper,,Certhia Americana,,,,,
Brown long-eared bat,brown big-eared bat,Plecotus auritus,Animal,Mammal,Chiroptera,Vespertilionidae,Plecotus
