Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen.name.original,Pathogen.rename,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Georgiades and Iordanidis,2002,Georgiades and Iordanidis 2002,yes,review,"Greece, Thessalonica",no,Europe,"agglutination test, biochemical, plate culture",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,,,,Canary (family),?,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"tissue (liver, spleen)",yes,no,,,30,182,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Georgiades and Iordanidis,2002,Georgiades and Iordanidis 2002,yes,review,"Greece, Thessalonica",no,Europe,"agglutination test, biochemical, plate culture",Immunologic,NA,NA,,NA,Animal,Bird,Psittaciformes,,,,,Pisittacines,?,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"tissue (liver, spleen)",yes,no,,,ND,71,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Georgiades and Iordanidis,2002,Georgiades and Iordanidis 2002,yes,review,"Greece, Thessalonica",no,Europe,"agglutination test, biochemical, plate culture",Immunologic,NA,NA,,NA,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,?,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"tissue (liver, spleen)",yes,no,,,40,618,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Girdwood et al.,1985,Girdwood et al. 1985,?yes no longer in print,review,"UK, Scotland",no,Europe,"serology, biochemical,enrich centrifuge, culture plate",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus ridibundus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"feces, cloacal swab, intestines",yes,no,,,5,204,,,,NA,,NA,,,,,,"Difficult to tell but datay may be duplicate from (Monaghan et al. 1985, Fricker, Girdwood & Munro, 1983, Fricker & Girdwood, 1984, Fricker,
1983).",,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Girdwood et al.,1985,Girdwood et al. 1985,?yes no longer in print,review,"UK, Scotland",no,Europe,"serology, biochemical,enrich centrifuge, culture plate",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"feces, cloacal swab, intestines",yes,no,,,124,5324,,,,NA,,NA,,,,,,"Difficult to tell but datay may be duplicate from (Monaghan et al. 1985, Fricker, Girdwood & Munro, 1983, Fricker & Girdwood, 1984, Fricker,
1983).",,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Girdwood et al.,1985,Girdwood et al. 1985,?yes no longer in print,review,"UK, Scotland",no,Europe,"serology, biochemical,enrich centrifuge, culture plate",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Lesser black-backed gull,Larus fuscus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"feces, cloacal swab, intestines",yes,no,,,51,360,,,,NA,,NA,,,,,,"Difficult to tell but datay may be duplicate from (Monaghan et al. 1985, Fricker, Girdwood & Munro, 1983, Fricker & Girdwood, 1984, Fricker,
1983).",,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Janecko et al.,2015,Janecko et al. 2015,yes,review,"Czech Republic, Usti nad Labem",no,Europe,"serotyped (outside laboratories standard methods?)biochemical, culture plate and broth",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Corvidae,Corvus,Common raven,Corvus corax,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),feces,yes,no,,,2,375,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Janecko et al.,2015,Janecko et al. 2015,yes,review,"Canada, Ontario, Waterloo",no,Northa America,"serotyped (outside laboratories standard methods?)biochemical, culture plate and broth",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Corvidae,Corvus,American crow,Corvus brachyrhynchos,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),feces,yes,no,,,2,200,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Janecko et al.,2015,Janecko et al. 2015,yes,review,"Canada, Ontario, Waterloo",no,Northa America,"serotyped (outside laboratories standard methods?)biochemical, culture plate and broth",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Corvidae,Corvus,American crow,Corvus brachyrhynchos,,free,Salmonella typhimurium copenhagen,Salmonella enterica subsp. enterica serovar Typhimurium var. Copenhagen ,Salmonella enterica (typhoid),feces,yes,no,,,1,200,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Passeriformes,Icteridae,Euphagus,Brewer's blackbird,,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,44,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Passeriformes,Icteridae,Molothrus,,,Cowbird (genus),free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,95,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,1,80,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Haemorhous,House finch,,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,61,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,451,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,1,83,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirk et al.,2002,Kirk et al. 2002,yes,review,"USA, California, Kings and Tulare County",yes,North America,"serology, culture, outside lab, standard methods",Immunologic,1 colony,NA,,NA,Animal,Bird,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"intestines content, trapped and killed birds",yes,no,,,ND,78,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Kirkpatrick and Colvin,1986,Kirkpatrick and Colvin 1986,yes,review,"USA, New Jersey, southwestern",yes,North America,"slide agglutination, biochemical testing, broth and plate culture",Immunologic,NA,NA,,swab (variable),Animal,Bird,Strigiformes,Tytonidae,Tyto,Common barn-owl,Tyto alba,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),cloacal swab,yes,no,,,5,94,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Literak et al. ,1992,Literak et al.  1992,yes,review,"Czech Republic, Breclav district, Nove Mlyny waterworks",no,Europe,"Serotyped, culture broth and plate",Immunologic,NA,NA,,variable swab,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus ridibundus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),cloacal swab,yes,no,,,48,267,,,,NA,,NA,,,,,,young birds,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Meteyer et al.,1997,Meteyer et al. 1997,yes,review,"USA, Minnesota/North Dakota/Lake Michigan/Lake Huron ",yes,North America,"serotyping, biochemical, API 20E, outside lab, culture plate and broth",Immunologic,NA,NA,,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Double-crested cormorant,Phalacrocorax auritus,,free,Salmonella typhimurium copenhagen,Salmonella enterica subsp. enterica serovar Typhimurium var. Copenhagen ,Salmonella enterica (typhoid),dead bird tissue (liver),yes,no,,,20,72,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Monaghan et al.,1985,Monaghan et al. 1985,yes,review,"UK, Scotland, Glasglow",no,Europe,"serology, Culture plate",Immunologic,NA,NA,,swab variable,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus Pontoppi,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),"feces and (clocal swab, instestines content, hunted birds)",yes,no,,,90,3148,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Moriarty et al.,2011,Moriarty et al. 2011,from review article,article not found,"Czech Republic, Moravia, Hodonin",no,Europe,Review Moriarty 2011,Immunologic,,,,,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus ridibundus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),clocal swab,yes,no,,,21,41,,,,NA,,NA,,,,,,Sixl et al.,1997,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Passeriformes,Passerellidae,Spizelloides,American tree sparrow,Spizella arborea,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mack Lake/Mt. Plesant",yes,North America,"serotype (outside lab National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Passeriformes,Icteridae,Molothrus,Brown-headed cowbird,Molothrus ater,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,4,45,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Charadriiformes,Laridae,Larus,Herring gull,Larus argentatus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,1,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,Passer domesticus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Charadriiformes,Scolopacidae,Tringa,Lesser yellow-legs,Tringa flavipes,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,3,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Passeriformes,Cardinalidae,Cardinalis,Northern cardinal,Richmondena cardinalis,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Passeriformes,Parulidae,Seiurus,Ovenbird,seiurus aruocapillus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Alma",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,Agelaius phoenicieus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,1,3,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Piciformes,Picidae,Melanerpes,Red-bellied woodpecker,Centurus carolinus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Grand Rapids",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Apodiformes,Trochilidae,Archilochus,Ruby-throated hummingbird,Archilochus colubris,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,1,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Radwan and Lampky,1972,Radwan and Lampky 1972,yes,review,"USA, Michigan, Mt. Pleasant",yes,North America,"serotype (National Communicable Disease Center),biochemical, broth enrich, plate culture",Immunologic,NA,NA,,2 gram of intestines,Animal,Bird,Galliformes,Phasianidae,Bonasa,Ruffed grouse,Bonasa umbellus,,free,Salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica (typhoid),tissue intestines,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Coccothraustes,Hawfinch,Coccothraustes coccothraustes,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 10",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,1,2,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Loxia,Red crossbill,Loxia curvirostra,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 11",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,ND,2,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,NA,Animal,Bird,,,,,,Bird (class),free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 12",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,ND,2,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Paridae,Parus,Great tit,Parus major,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 13",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,303,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Fringillidae,Pyrrhula,Eurasian bullfinch,Pyrrhula pyrrhula,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 14",Salmonella enterica (typhoid),cloacal swab,yes,no,,,8,281,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Pyrrhula,Eurasian bullfinch,Pyrrhula pyrrhula,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 15",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,49,63,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Paridae,Cyanistes,Blue tit,Cyanistes caeruleus,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 16",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,138,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Fringillidae,Chloris,European greenfinch ,Carduelis chloris,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 17",Salmonella enterica (typhoid),cloacal swab,yes,no,,,2,380,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Corvidae,Pica,Eurasian magpie,Pica pica,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 18",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,1,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Paridae,Poecile,Willow tit ,Poecile montanus,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 19",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,26,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Fringillidae,Spinus,Eurasian siskin,Carduelis spinus,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 2",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,33,40,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Fringillidae,Acanthis,Common redpoll ,Carduelis flammea,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 20",Salmonella enterica (typhoid),cloacal swab,yes,no,,,12,348,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Paridae,Periparus,Coal tit,Parus ater,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 21",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,16,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Emberizidae,Emberiza,Yellowhammer,Emberiza citrinella,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 22",Salmonella enterica (typhoid),cloacal swab,yes,no,,,1,51,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Fringillidae,Spinus,Eurasian siskin,Carduelis spinus,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 23",Salmonella enterica (typhoid),cloacal swab,yes,no,,,14,159,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Sittidae,Sitta,Eurasian nuthatch,Sitta europaea,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 24",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,20,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,swab,Animal,Bird,Passeriformes,Turdidae,Turdus,Common blackbird,Turdus merula,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 25",Salmonella enterica (typhoid),cloacal swab,yes,no,,,ND,26,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
Refsum et al.,2003,Refsum et al. 2003,yes,review,Norway,no,Europe,"Serology (Nordic Committee on Food), standard method
Analysis method 1991), culture broth and plate",Immunologic,NA,NA,,NA,Animal,Bird,Passeriformes,Paridae,Cyanistes,Blue tit,Cyanistes caeruleus,,free,"Salmonella typhimurium 4, 12: i : 1, 2","Salmonella enterica subsp. enterica serovar Typhimurium var. 4, 12; i ; 1, 26",Salmonella enterica (typhoid),"tissue (intestines), dead bird",yes,no,,,2,6,,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Very Low,0
