Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.name.extra,Free.captive,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,4,32,NA,,NA,NA,NA,NA,1.00E+05,1.00E+06,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,8,32,NA,,NA,NA,NA,NA,1.00E+06,1.00E+07,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,8,32,NA,,NA,NA,NA,NA,1.00E+07,1.00E+08,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,11,32,NA,,NA,NA,NA,NA,1.00E+08,1.00E+09,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Ricca and Cooney,1998,Ricca and Cooney 1998,yes,review,"USA, MA, Weymouth",yes,North America,"Microscope, membrain filtration",Conventional,1,<1 cfu/g,cfu/g,1g,Animal,Bird,Columbiformes,Columbinae,Columba,Pigeon,Columba livia,,free,Fecal coliform,feces,yes,yes,Semiquantitative,no,1,32,NA,,NA,NA,NA,NA,1.00E+09,1.00E+10,NA,NA,cfu/g,semiquantitative,Thermotolerant coliform,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Cox et al.,2005,Cox et al. 2005,yes,Web of Science,"Australia, Sydney Watershed",no,Western Pacific,Standard Method 9222G,Conventional,100,,CFU/g wetweight,1g,Animal,Mammal,Rodentia,,,,Rattus fuscipes,rat,free,Fecal coliform,feces,yes,yes,StatsTotal,no,5,5,NA,,NA,NA,NA,21000,1200,80000,NA,NA,CFU/g wet weight,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Jones and Obiri-Danso,1999,Jones and Obiri-Danso 1999,symposium,review,"UK, Morecambe Bay/Lancaster",no,Europe,"MPN, 3 tube, APHA Standard Method",Conventional,NA,NA,,NA,Animal,Bird,Charadriiformes,Scolopacidae,Calidris,Red Knot,Calidris canutus,,free,Fecal coliform,feces,no,yes,Stats,no,NA,NA,NA,,NA,5.295,NA,NA,191,912000,NA,NA,MPN/g,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Alderisio and DeLuca,1999,Alderisio and DeLuca 1999,yes,review,"USA, NY, Westchester County",yes,North America,Plate count,Conventional,300,NA,CFU/g,0.48 g mean (0.01-2.49 g volume standardized by dilution),Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces,no,yes,StatsTotal,no,NA,249,NA,,3.68E+08,NA,NA,NA,NA,NA,NA,NA,CFU/gram,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Levesque et al.,1993,Levesque et al. 1993,yes,review,"Canada, Quebec",no,North America,"MPN, 5 tube, APHA Method, API 20E Test",Conventional,0.18,,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces,no,yes,StatsTotal,no,NA,100,NA,,NA,2.40E+07,NA,NA,NA,NA,NA,NA,CFU/g,Also has data connecting number of birds to concentrations in waters at different depths.,EPA Method 1681,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Levesque et al.,1993,Levesque et al. 1993,yes,review,"Canada, Quebec",no,North America,"culture, APHA Method, API 20E Test",Conventional,0.18,NA,CFU/g,NA,Animal,Bird,Charadriiformes,Laridae,Larus,Ring-billed gull,Larus delawarensis,,free,Fecal coliform,feces,no,yes,StatsTotal,no,NA,148,NA,,NA,1100000,NA,NA,NA,NA,NA,NA,CFU/g,Also has data connecting number of birds to concentrations in waters at different depths.,EPA Method 1681,NA,NA,NA,NA,NA,NA,NA,NA,High,3
