Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,X,Free.captive,Pathogen1,Pathogen,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Masuda et al.,2021,Masuda et al. 2021,yes,Google Scholar,"Japan, Kanagawa Prefecture",no,Western Pacific,"(18SCR2, 18SCF2, 18SCF1, 18SCR1, 600 bp)",Molecular,NA,NA,,NA,Animal,Mammal,Rodentia,Sciuridae,Callosciurus,Pallas's squirrel,Callosciurus erythraeus,,free,Cryptosporidium ubiquitum,Cryptosporidium ubiquitum,feces from rectum of hunted animals,yes,no,,,18,423,,NA,,NA,,,,,,,," 18SCR2, 18SCF2, 18SCF1, 18SCR1, 600 bp",,NA,NA,NA,NA,NA,NA,NA,NA,High,3
McGlade et al.,2003,McGlade et al. 2003,yes,review,"Australia, Perth",no,Western Pacific,PCR ,Molecular,NA,NA,,2g,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium spp.,Cryptosporidium,feces (40 random of the 418),yes,no,,,4,40,0.1,NA,,NA,,,,,,,,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
McReynolds et al.,1999,McReynolds et al. 1999,yes,review,USA,yes,North America,ELISA,Immunologic,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium spp.,Cryptosporidium,blood serum,yes,no,,,50,600,0.083,NA,,NA,,,,,,, IgG antibody,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Charadriiformes,Laridae,Chroicocephalus,Black-headed gull,Larus ridibundus,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,1,1,NA,8,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Accipitriformes,Accipitridae,Buteo,Common buzzard,Buteo buteo,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,1,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Galliformes,Phasianidae,Phasianus,Common pheasant,Phasianus colchicus,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,2,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",2 individual 1 composite sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Tadorna,Common shelduck,Tadorna tadorna,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,44,0.023986085,NA,45.6,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",44 individual 8 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Gruiformes,Rallidae,Fulica,Eurasian coot,Fulica atra,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,5,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",5 individual 1 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Charadriiformes,Haematopodidae,Haematopus,Eurasian oystercatcher,Haematopus ostralegus,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,2,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",2 individual 1 composite sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Mareca,Eurasian wigeon,Anas penelope,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,66,0.017284162,NA,0.36,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",66 individual 4 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Mareca,Gadwall,Anas strepera,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,43,0.024537001,NA,274,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",43 individual 8 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Pelecaniformes,Ardeidae,Ardea,Great blue heron,Ardea cinerea,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,1,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",1,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Great cormorant,Phalacrocorax carbo,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,10,0.105572809,NA,64,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",10 individual 5 composite sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Anser,Greylag goose,Anser anser,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,133,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",133 individual 6 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Anas,Mallard,Anas platyrhynchos,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,168,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",168 individual 17 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Cygnus,Mute swan,Cygnus olor,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,5,0.205582119,NA,5.2,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",5 individual 4 composite,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Spatula,Northern shoveler,Anas clypeata,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,no,StatsTotal,no,0,2,0,NA,0,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",2 individual 1 composite sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Medema,1999,Medema 1999,thesis,review,Netherlands,no,Europe,Microscope,Conventional,1,NA,oocyst/g,1 g,Animal,Bird,Anseriformes,Anatidae,Aythya,Tufted duck,Aythya fuligula,,free,Cryptosporidium spp. ,Cryptosporidium,feces pooled,yes ,yes,StatsTotal,no,1,18,0.060102376,NA,2.9,NA,,,,,,,cyst/g (infected animal),"percent is the number of percent of positive animals, there is also data for positive pooled samples.",18 individual 5 composite samples,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,33,224,0.15,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,1,33,,NA,,NA,,,,,,,8 oocyst/smear,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,1,33,,NA,,NA,,,,,,,26 oocyst/smear,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,1,33,,NA,,NA,,,,,,,35 oocyst/smear,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,2,33,,NA,,NA,,,,,,,4 oocyst/smear,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,6,33,,NA,,NA,,,,,,,2 oocyst/smear,,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,yes,no,,,22,33,,NA,,NA,,,,,,,1 oocyst/smear,Also has data on different sites.,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Montecino-Latorre et al.,2015,Montecino-Latorre et al. 2015,yes,Google Scholar,"USA, California, Sierra Neveada Mountains",yes,North America,"Microscope, direct immunofluorescence, centrifuge.",Conventional,NA,NA,,1.6 g,Animal,Mammal,Rodentia,Sciuridae,Marmota,Yellow-bellied marmot,Marmota flaviventris,,free,Cryptosporidium ,Cryptosporidium,feces,no,yes,StatsTotal,no,33,224,,NA,535,NA,,129,35,1646,204,865,oocyst/gram feces,mean from wet weight feces,,NA,NA,NA,NA,NA,NA,NA,NA,High,3
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"PCR (AII F1, Act6R, 830 bp, AII F2, AII R1, 818 bp)",Molecular,NA,NA,,1-25 g,Animal,Bird,Anseriformes,Anatidae,Cygnus,Black swan,,,free,Cryptosporidium spp.,Cryptosporidium,feces,yes,no,,,2,80,0.025,NA,,NA,,,,,,,count/g wet weight.,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"PCR (AII F1, Act6R, 830 bp, AII F2, AII R1, 818 bp)",Molecular,NA,NA,,1-25 g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,,,free,Cryptosporidium spp.,Cryptosporidium,feces,yes,no,,,4,80,0.05,NA,,NA,,,,,,,count/g wet weight.,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"PCR (AII F1, Act6R, 830 bp, AII F2, AII R1, 818 bp)",Molecular,NA,NA,,1-25 g,Animal,Bird,Anseriformes,Anatidae,,,,Duck (family),free,Cryptosporidium spp.,Cryptosporidium,feces,yes,no,,,1,80,0.013,NA,,NA,,,,,,,count/g wet weight.,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Moriarty et al.,2011,Moriarty et al. 2011,yes,Web of Science,"New Zealand, Auckland, Hamilton, Farewell Spit and Christchurch",no,Western Pacific,"PCR (AII F1, Act6R, 830 bp, AII F2, AII R1, 818 bp)",Molecular,NA,NA,,1-25 g,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Cryptosporidium spp.,Cryptosporidium,feces,yes,no,,,ND,80,ND,NA,,NA,,,,,,,count/g wet weight.,mean based on all 80 samples,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Oates et al. ,2012,Oates et al.  2012,yes,Web of Science,"USA, Monteray Bay, California",yes,North America,"Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (18SiF, 18SiR, 298 bp, eF, eR, 1,325 bp)",Conventional,NA,NA,,5g,Animal,Mammal,Carnivora,Felidae,Felis,Cat,Felis silvestris catus,,free,Cryptosporidium,Cryptosporidium,feces,yes,yes,StatsTotal,no,8,74,0.108,NA,1884.8,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Oates et al. ,2012,Oates et al.  2012,yes,Web of Science,"USA, Monteray Bay, California",yes,North America,"Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (18SiF, 18SiR, 298 bp, eF, eR, 1,325 bp)",Conventional,NA,NA,,5g,Animal,Mammal,Didelphimorphia,Didelphidae,Didelphis,Virginia opossum,Didelphis virginiana,,free,Cryptosporidium,Cryptosporidium,feces,no,yes,StatsTotal,no,17,68,0.25,NA,789.2,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Oates et al. ,2012,Oates et al.  2012,yes,Web of Science,"USA, Monteray Bay, California",yes,North America,"Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (18SiF, 18SiR, 298 bp, eF, eR, 1,325 bp)",Conventional,NA,NA,,5g,Animal,Mammal,Carnivora,Felidae,,,"Puma concolor, Lynx rufus","Wild felids (mountain lions, bobcats)",free,Cryptosporidium,Cryptosporidium,feces,yes,no,StatsTotal,yes,ND,11,0,NA,ND,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Oates et al. ,2012,Oates et al.  2012,yes,Web of Science,"USA, Monteray Bay, California",yes,North America,"Microscope (Direct immunofluorescent antibody microscopy), separate, centrifuge, PCR (18SiF, 18SiR, 298 bp, eF, eR, 1,325 bp)",Conventional,NA,NA,,5g,Animal,Bird,Charadriiformes,Laridae,Larus,,Larus spp.,Gull (family),free,Cryptosporidium,Cryptosporidium,feces,no,no,StatsTotal,yes,ND,145,0,NA,ND,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Queen et al.,2012,Queen et al. 2012,yes,review,"USA, California, Northern California, Davis Vetrinary Hospital",yes,North America,"ELISA, Manufacture instruction, spectrophotometric, 450 nm",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium,Cryptosporidium,feces (normal),yes,no,,,0,54,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Queen et al.,2012,Queen et al. 2012,yes,review,"USA, California, Northern California, Davis Vetrinary Hospital",yes,North America,"ELISA, Manufacture instruction, spectrophotometric, 450 nm",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium,Cryptosporidium,feces (diarrhea),yes,no,,,6,190,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Rzymski et al.,2017,Rzymski et al. 2017,yes,Google Scholar,"Poland, Lake Chrzypsko",no,Europe,Microscope,Conventional,800,NA,,NA,Animal,Bird,Suliformes,Phalacrocoracidae,Phalacrocorax,Great cormorant,Phalacrocorax carbo,,free,Cryptosporidium,Cryptosporidium,feces composite by nest,yes,yes,StatsnoND,no,2,125,,NA,4000,NA,,,,,3000,25000,oocysts/g composite feces,,25 (composite 5samples per composite),NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Sabshin et al. ,2012,Sabshin et al.  2012,yes,review,"USA, Florida, Alachua County",yes,North America,PCR (A093489) Microscope Flotation,Molecular,NA,NA,,1g,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,free,Cryptosporidium spp,Cryptosporidium,feces (diarrhea),yes,no,,,5,50,,NA,,NA,,,,,,,,From Review (Silvia and Lobato 2015),,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Sabshin et al. ,2012,Sabshin et al.  2012,yes,review,"USA, Florida, Alachua County",yes,North America,PCR (A093489) Microscope Flotation,Molecular,NA,NA,,1g,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,free,Cryptosporidium spp,Cryptosporidium,feces (normal),yes,no,,,10,50,,NA,,NA,,,,,,,,From Review (Silvia and Lobato 2015),,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Santin et al. ,2006,Santin et al.  2006,yes,review,"Colombia, Bogota",no,South America,"PCR (nested custom primer, 830 bp), filtration, centrifuge",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium muris,Cryptosporidium muris,"feces (rectum scrape), euthanized cat",yes,no,,,1,46,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Santin et al. ,2006,Santin et al.  2006,yes,review,"Colombia, Bogota",no,South America,"PCR (nested custom primer, 830 bp), filtration, centrifuge",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium Felis,Cryptosporidium (genotype),"feces (rectum scrape), euthanized cat",yes,no,,,5,46,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Santin et al. ,2006,Santin et al.  2006,yes,review,"Colombia, Bogota",no,South America,"PCR (nested custom primer, 830 bp), filtration, centrifuge",Molecular,NA,NA,,NA,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium,Cryptosporidium,"feces (rectum scrape), euthanized cat",yes,no,,,6,46,,NA,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Sargent et al.,1998,Sargent et al. 1998,yes,review,"Australia, Perth",no,Western Pacific,"Stain, Microscope",Conventional,NA,NA,,100 ul ,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium spp. ,Cryptosporidium,feces,yes,no,,,2,162,0.012,NA,,NA,,,,,,,,From Ferguson et al. 2009,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Sargent et al.,1998,Sargent et al. 1998,yes,review,"Australia, Perth",no,Western Pacific,"Stain, Microscope, PCR",Molecular,NA,NA,,100 ul ,Animal,Mammal,Carnivora,Felidae,Felis,Cat,,,domestic,Cryptosporidium spp.,Cryptosporidium,feces,yes,no,,,2,162,0.012,NA,,NA,,,,,,,,From Ferguson et al. 2009," Ct33, Ct131, C7, H5, 298 bp",NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Gruiformes,Rallidae,Fulica,American coot,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,2,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Passeriformes,Corvidae,Corvus,American crow,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,12,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Falconiformes,Falconidae,Falco,American kestrel,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,6,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Passeriformes,Turdidae,Turdus,American robin,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,13,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Columbiformes,Columbidae,Patagioenas,Band-tailed pigeon,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,2,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Pelecaniformes,Ardeida,Nycticorax,Black-crowned night heron,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,16,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Pelecaniformes,Pelecanidae,Pelecanus,Brown pelican ,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,6,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Anseriformes,Anatidae,Branta,Canada goose,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,13,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Podicipediformes,Podicipedidae,Aechmophorus,Clark's grebe,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,6,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Charadriiformes,Alcidae,Uria,Common murre,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,31,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Charadriiformes,Laridae,Larus,Glaucous-winged gull,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,1,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Siembieda et al.,2011,Siembieda et al. 2011,yes,Google Scholar,"USA, California, San Francisco Bay",yes,North America,"direct immunofluorescence assay, immunomagnetic separation",Immunologic,NA,NA,,<5 g,Animal,Bird,Strigiformes,Strigidae,Bubo,Great horned owl,,,free,Cryptosporidium spp,Cryptosporidium,feces,yes,no,,,ND,6,,NA,,NA,,,,,,,,Data had to be compiled from all over the place in the article,response to oil spill,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
